AVOIDS ENORMOUS NETWORK PAYLOADS
URL;TRANSFER SIZE
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Text-x-generic_with_pencil-2.svg/38px-Text-x-generic_with_pencil-2.svg.png;3433.1769999698736 ms;image/webp text;h2 text;1120 bytes;Image text;3417.9569999687374 ms;200 text;2494 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/HSUtvald.svg/38px-HSUtvald.svg.png;3434.4050000072457 ms;image/webp text;h2 text;1462 bytes;Image text;3418.1310000130907 ms;200 text;2902 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Ritratto_di_Alessandro_Manzoni_by_Francesco_Hayez.jpg/106px-Ritratto_di_Alessandro_Manzoni_by_Francesco_Hayez.jpg;3435.2790000266396 ms;image/jpeg text;h2 text;3587 bytes;Image text;3418.2789999758825 ms;200 text;4960 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/HS_VdQ.svg/38px-HS_VdQ.svg.png;3437.3689999920316 ms;image/png text;h2 text;2023 bytes;Image text;3418.444000009913 ms;200 text;3455 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Tau_ceti_map.png/147px-Tau_ceti_map.png;3624.147000024095 ms;image/png text;h2 text;17444 bytes;Image text;3418.7399999937043 ms;200 text;18863 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/PL_Wiki_CzyWiesz_ikona.svg/38px-PL_Wiki_CzyWiesz_ikona.svg.png;3441.6399999754503 ms;image/webp text;h2 text;1262 bytes;Image text;3418.8870000070892 ms;200 text;2716 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Jeanne_Barret.jpg/85px-Jeanne_Barret.jpg;3438.5650000185706 ms;image/webp text;h2 text;4596 bytes;Image text;3419.039000000339 ms;200 text;6039 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/HSDagensdatum.svg/38px-HSDagensdatum.svg.png;3434.7100000013597 ms;image/webp text;h2 text;1544 bytes;Image text;3419.164999970235 ms;200 text;2989 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Rosa_Luxemburg.jpg/100px-Rosa_Luxemburg.jpg;3436.0219999798574 ms;image/webp text;h2 text;3590 bytes;Image text;3419.302999973297 ms;200 text;5035 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/HS_geo.svg/38px-HS_geo.svg.png;3861.700000008568 ms;image/png text;h2 text;2456 bytes;Image text;3419.456999981776 ms;200 text;3891 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Wikimedia-logo-circle.svg/38px-Wikimedia-logo-circle.svg.png;3435.029999993276 ms;image/webp text;h2 text;1512 bytes;Image text;3419.572999991942 ms;200 text;2965 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/30px-Commons-logo.svg.png;3862.2399999876507 ms;image/webp text;h2 text;862 bytes;Image text;3419.7750000166707 ms;200 text;2306 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikiquote-logo.svg/30px-Wikiquote-logo.svg.png;3435.5060000088997 ms;image/webp text;h2 text;1046 bytes;Image text;3419.967000023462 ms;200 text;2492 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Wiktionary-logo.svg/30px-Wiktionary-logo.svg.png;3435.7989999698475 ms;image/webp text;h2 text;1956 bytes;Image text;3420.1589999720454 ms;200 text;3332 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Wikinews-logo.svg/30px-Wikinews-logo.svg.png;3436.782000004314 ms;image/webp text;h2 text;1098 bytes;Image text;3420.3940000152215 ms;200 text;2475 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Wikispecies-logo.svg/30px-Wikispecies-logo.svg.png;3438.1050000083633 ms;image/webp text;h2 text;1876 bytes;Image text;3420.8830000134185 ms;200 text;3253 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Wikimedia_Community_Logo.svg/30px-Wikimedia_Community_Logo.svg.png;3439.8999999975786 ms;image/webp text;h2 text;1126 bytes;Image text;3421.0309999762103 ms;200 text;2581 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikibooks-logo.svg/30px-Wikibooks-logo.svg.png;3440.653999976348 ms;image/webp text;h2 text;1352 bytes;Image text;3421.162999991793 ms;200 text;2729 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wikisource-logo.svg/30px-Wikisource-logo.svg.png;3440.4150000191294 ms;image/webp text;h2 text;1316 bytes;Image text;3421.280000009574 ms;200 text;2694 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Wikiversity-logo.svg/30px-Wikiversity-logo.svg.png;3437.816000019666 ms;image/webp text;h2 text;674 bytes;Image text;3421.420999977272 ms;200 text;2048 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Wikidata-logo.svg/32px-Wikidata-logo.svg.png;3437.5790000194684 ms;image/webp text;h2 text;216 bytes;Image text;3421.6550000128336 ms;200 text;1591 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Wikivoyage-Logo-v3-icon.svg/30px-Wikivoyage-Logo-v3-icon.svg.png;3443.029000016395 ms;image/webp text;h2 text;446 bytes;Image text;3421.840000024531 ms;200 text;1901 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/PL_Wiki_Aktualnosci_ikona.svg/38px-PL_Wiki_Aktualnosci_ikona.svg.png;3442.228999978397 ms;image/webp text;h2 text;1482 bytes;Image text;3422.216999984812 ms;200 text;2939 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/HSContribs.svg/38px-HSContribs.svg.png;3439.578999998048 ms;image/png text;h2 text;2258 bytes;Image text;3422.403000004124 ms;200 text;3632 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/HSWikimedia.svg/38px-HSWikimedia.svg.png;3439.29999996908 ms;image/png text;h2 text;2911 bytes;Image text;3422.541000007186 ms;200 text;4351 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Wikimedia-logo-meta.svg/18px-Wikimedia-logo-meta.svg.png;3441.1589999799617 ms;image/png text;h2 text;1093 bytes;Image text;3422.6940000080504 ms;200 text;2541 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Wikiquote-logo.svg/18px-Wikiquote-logo.svg.png;3440.900999994483 ms;image/webp text;h2 text;566 bytes;Image text;3422.8499999735504 ms;200 text;2010 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Commons-logo.svg/18px-Commons-logo.svg.png;3441.3519999943674 ms;image/webp text;h2 text;532 bytes;Image text;3422.9770000092685 ms;200 text;1977 bytes
https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Lago_Bernard%2C_Columbia_Brit%C3%A1nica%2C_Canad%C3%A1%2C_2017-08-26%2C_DD_68-75_PAN.jpg/260px-Lago_Bernard%2C_Columbia_Brit%C3%A1nica%2C_Canad%C3%A1%2C_2017-08-26%2C_DD_68-75_PAN.jpg;3441.91499997396 ms;image/webp text;h2 text;5546 bytes;Image text;3423.1399999698624 ms;200 text;7061 bytes
